City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,freetown,8.484,-13.2299,24.84,94,75,1.54,SL,1717914389
84,ola,59.5833,151.2833,8.41,84,96,4.33,RU,1717914607
85,la ronge,55.1001,-105.2842,6.14,81,100,2.57,CA,1717914609
86,general conesa,-40.1,-64.4333,15.8,91,100,3.55,AR,1717914610
87,hamilton,39.1834,-84.5333,22.07,76,40,4.47,US,1717914612
88,baruun-urt,46.6806,113.2792,30.18,15,32,5.64,MN,1717914613
89,plainville,41.6745,-72.8582,17.09,84,0,0.45,US,1717914615
90,albany,42.6001,-73.9662,17.18,71,100,1.76,US,1717914617
91,wewak,-3.5534,143.6268,29.17,73,56,3.55,PG,1717914618
92,enewetak,11.3474,162.3373,28.31,84,100,6.35,MH,1717914620
93,ust-nera,64.5667,143.2,11.47,27,99,2.05,RU,1717914621
94,mossel bay,-34.1831,22.146,7.96,66,0,1.4,ZA,1717914622
95,happy valley-goose bay,53.3168,-60.3315,13.17,94,0,3.09,CA,1717914624
96,savanna-la-mar,18.219,-78.1332,26.97,90,100,3.93,JM,1717914625
97,berezovyy,51.6667,135.7,17.6,68,100,2.2,RU,1717914626
98,vila velha,-20.3297,-40.2925,18.97,100,0,1.03,BR,1717914628
99,kolonia town,6.964,158.206,27.0,89,100,1.54,FM,1717914633
100,coquimbo,-29.9533,-71.3436,13.85,73,100,3.6,CL,1717914481
101,avarua,-21.2078,-159.775,22.03,60,20,2.57,CK,1717914596
102,bridgewater,44.3835,-64.5155,12.84,97,17,5.66,CA,1717914636
103,uthal,25.8072,66.6219,36.65,39,0,2.62,PK,1717914638
104,yellowknife,62.456,-114.3525,11.34,69,75,1.03,CA,1717914583
105,hadibu,12.65,54.0333,30.77,66,24,9.48,YE,1717914640
106,nuuk,64.1835,-51.7216,3.34,100,100,9.77,GL,1717914360
107,parry sound,45.3501,-80.033,13.03,88,91,3.4,CA,1717914644
108,san andres,12.5847,-81.7006,28.01,89,20,1.03,CO,1717914508
109,chonchi,-42.6128,-73.8092,9.56,94,100,2.11,CL,1717914646
110,margaret river,-33.95,115.0667,15.91,63,100,11.17,AU,1717914647
111,vilyuchinsk,52.9306,158.4028,14.15,73,100,4.1,RU,1717914616
112,qaqortoq,60.7167,-46.0333,4.35,98,100,0.7,GL,1717914655
113,touros,-5.1989,-35.4608,24.07,93,90,5.19,BR,1717914656
114,tavda,58.0425,65.2726,18.72,53,73,2.68,RU,1717914616
115,nemuro,43.3236,145.575,11.31,89,100,6.62,JP,1717914442
116,karagandy,49.8019,73.1021,26.97,35,45,6.11,KZ,1717914494
117,ribeira grande,38.5167,-28.7,19.22,77,40,3.09,PT,1717914661
118,kananga,-5.8958,22.4178,26.45,31,100,3.42,CD,1717914662
119,lodwar,3.1191,35.5973,28.7,48,93,4.93,KE,1717914663
120,port blair,11.6667,92.75,29.02,79,75,4.12,IN,1717914478
121,tazovsky,67.4667,78.7,5.65,71,0,4.37,RU,1717914666
122,guenange,49.2995,6.2075,16.34,73,5,0.89,FR,1717914669
123,es castell,39.8795,4.2854,22.38,88,40,6.17,ES,1717914672
124,pisco,-13.7,-76.2167,17.03,88,100,2.57,PE,1717914568
125,karakocan,38.9558,40.0386,24.7,46,0,0.65,TR,1717914675
